Player,Team,Pos,fg_pcg,three_pt_pcg,ft_pcg,offensive_rating,defensive_rating,total_rating,wins_above_replacement,nba_2k_strength,nba_2k_rating
Steven Adams,Thunder,C,59%,33%,60%,1.13,1.08,2.2,3.66,Glass-Cleaning Lockdown,85.0
Bam Adebayo,Heat,C,57%,8%,69%,-0.17,2.1,1.93,4.9,Paint Beast,83.0
LaMarcus Aldridge,Spurs,PF,49%,39%,83%,-0.72,-0.1,-0.82,1.67,3-Level Scorer,85.0
Nickeil Alexander-Walker,Pelicans,PG,34%,34%,61%,-2.61,-2.07,-4.68,-0.49,Playmaker,72.0
Grayson Allen,Grizzlies,SG,45%,36%,86%,-0.4,-1.85,-2.25,0.13,3PT Specialist,72.0
Jarrett Allen,Nets,C,64%,0%,63%,-0.06,2.37,2.31,3.96,Glass-Cleaning Lockdown,81.0
Kadeem Allen,Knicks,SG,43%,31%,64%,1.57,3.25,4.82,0.45,Deep-Range Shot Creator,72.0
Al-Farouq Aminu,Magic,PF,29%,25%,66%,-5.59,2.84,-2.75,0.0,Stretch Four,75.0
Kyle Anderson,Grizzlies,SF,49%,21%,65%,-1.99,1.85,-0.14,1.35,Mid-Range Slasher,75.0
Giannis Antetokounmpo,Bucks,PF,55%,31%,62%,5.71,3.68,9.39,10.53,2-Way Slashing Playmaker,97.0
Thanasis Antetokounmpo,Bucks,SG,55%,0%,44%,0.06,2.31,2.37,0.19,Athletic Finisher,70.0
Carmelo Anthony,Trail Blazers,PF,42%,36%,84%,-1.85,-4.03,-5.88,-2.33,Floor-Spacing Slasher,79.0
OG Anunoby,Raptors,SF,50%,37%,70%,-1.04,1.48,0.43,2.84,3 & D Wing,79.0
Ryan Arcidiacono,Bulls,PG,41%,38%,71%,-1.23,1.98,0.75,1.59,Sharpshooter,70.0
Trevor Ariza,Trail Blazers,SF,39%,35%,78%,-1.91,1.38,-0.54,1.49,3PT Specialist,75.0
D.J. Augustin,Magic,PG,38%,33%,88%,-0.02,-0.8,-0.82,1.06,Mid-Range Shot Creator,78.0
Deandre Ayton,Suns,C,55%,0%,77%,-1.27,2.73,1.46,2.05,Mid-Range Finisher,84.0
Dwayne Bacon,Hornets,SF,35%,28%,66%,-5.11,-0.56,-5.67,-1.02,Slasher,70.0
Lonzo Ball,Pelicans,PG,41%,37%,58%,-0.74,0.19,-0.55,1.89,2-Way Playmaker,79.0
J.J. Barea,Mavericks,PG,43%,41%,94%,2.69,0.33,3.02,1.01,Slashing Playmaker,78.0
Harrison Barnes,Kings,SF,46%,37%,81%,-0.09,-0.47,-0.55,2.35,Floor-Spacing Slasher,79.0
RJ Barrett,Knicks,SF,40%,32%,59%,-2.2,-2.27,-4.48,-1.35,Offense Initiator,76.0
Will Barton,Nuggets,SG,44%,38%,77%,1.93,0.94,2.87,4.96,Inside-Out Scorer,80.0
Keita Bates-Diop,Nuggets,SF,42%,33%,71%,-2.48,-2.08,-4.56,-0.61,Stretch Four,72.0
Nicolas Batum,Hornets,SF,35%,29%,90%,-0.57,2.71,2.14,1.25,Well-Rounded Wing,73.0
Aron Baynes,Suns,C,49%,33%,73%,-1.26,-0.29,-1.55,0.51,3-Level Scorer,79.0
Kent Bazemore,Kings,SG,35%,33%,81%,-2.85,3.14,0.29,2.34,Floor-Spacing Slasher,74.0
Darius Bazley,Thunder,SF,38%,30%,68%,-5.55,2.69,-2.86,-0.05,3-Level Scorer,70.0
Bradley Beal,Wizards,SG,46%,34%,84%,5.63,-3.88,1.75,4.33,Scoring Machine,88.0
Malik Beasley,Twolves,SG,39%,36%,87%,-0.45,-0.48,-0.93,0.98,3PT Specialist,74.0
Marco Belinelli,Spurs,SG,38%,36%,78%,-0.24,-3.38,-3.63,-0.34,3-Level Scorer,72.0
Jordan Bell,Grizzlies,PF,53%,22%,59%,-0.56,0.23,-0.33,0.32,Glass Cleaner,76.0
Dragan Bender,Suns,PF,48%,44%,67%,-3.12,-0.12,-3.24,-0.06,Inside-Out Scorer,70.0
Patrick Beverley,Clippers,PG,43%,37%,63%,1.4,3.09,4.49,4.44,Perimeter Lockdown,78.0
Khem Birch,Magic,C,49%,0%,61%,-2.95,1.41,-1.54,0.47,Interior Big,72.0
Goga Bitadze,Pacers,C,47%,16%,71%,-5.29,-0.45,-5.74,-0.6,Rim Protector,74.0
Nemanja Bjelica,Kings,PF,48%,43%,81%,2.21,-1.04,1.17,3.4,Stretch Four,81.0
Eric Bledsoe,Bucks,PG,48%,35%,83%,1.92,1.47,3.39,4.48,2-Way Slashing Playmaker,84.0
Jonah Bolden,76ers,PF,67%,0%,0%,-5.33,-2.29,-7.63,-0.11,Stretch Four,73.0
Isaac Bonga,Wizards,SF,51%,40%,80%,-0.39,2.21,1.82,2.24,Slasher,72.0
Devin Booker,Suns,SG,49%,36%,92%,3.82,-2.83,0.99,4.04,Scoring Machine,87.0
Chris Boucher,Raptors,PF,46%,29%,80%,1.54,1.7,3.24,2.09,Glass Cleaner,78.0
Ky Bowman,Warriors,PG,41%,30%,83%,-3.66,-0.43,-4.09,-0.68,Mid-Range Specialist,72.0
Avery Bradley,Lakers,SG,45%,37%,82%,-2.04,0.19,-1.85,0.49,2-Way Mid-Range Shooter,74.0
Ignas Brazdeikis,Knicks,SF,27%,11%,80%,-2.77,-10.21,-12.98,-0.28,3-Level Scorer,69.0
Mikal Bridges,Suns,SG,51%,35%,84%,-0.03,1.84,1.81,3.75,Perimeter Lockdown,76.0
Miles Bridges,Hornets,SF,43%,34%,81%,-1.4,-2.03,-3.43,-0.64,Athletic Finisher,75.0
Ryan Broekhoff,Mavericks,SG,37%,39%,88%,1.87,0.08,1.96,0.43,3PT Specialist,72.0
Malcolm Brogdon,Pacers,PG,44%,31%,90%,0.8,0.51,1.31,2.93,Mid-Range Playmaker,84.0
Dillon Brooks,Grizzlies,SF,40%,37%,81%,-0.53,-1.04,-1.57,1.03,Sharpshooter,76.0
Bruce Brown,Pistons,SG,44%,34%,74%,-1.85,2.11,0.26,2.38,3-Level Scorer,75.0
Jaylen Brown,Celtics,SG,49%,38%,74%,0.88,-0.38,0.5,2.77,2-Way Scoring Machine,82.0
Sterling Brown,Bucks,SF,37%,32%,79%,-2.15,1.43,-0.73,0.63,3-Level Scorer,73.0
Jalen Brunson,Mavericks,PG,47%,36%,81%,1.33,0.73,2.06,2.49,slashing playmaker,79.0
Thomas Bryant,Wizards,C,60%,40%,73%,-1.5,-1.64,-3.14,-0.16,Mid-Range Specialist,79.0
Reggie Bullock,Knicks,SF,40%,34%,84%,-1.33,0.02,-1.31,0.45,Sharpshooter,74.0
Trey Burke,76ers,PG,46%,42%,72%,2.42,-1.57,0.86,0.59,Deep-Range Shot Creator,78.0
Alec Burks,76ers,SG,41%,38%,90%,0.71,-1.24,-0.53,1.73,Sharpshooter,79.0
Deonte Burton,Thunder,SG,37%,22%,50%,-7.48,-1.37,-8.85,-0.86,Slasher,70.0
Jimmy Butler,Heat,SG,45%,25%,83%,4.31,2.06,6.37,7.94,2-Way Slasher,89.0
Bruno Caboclo,Rockets,SF,41%,16%,67%,-4.65,4.38,-0.27,0.26,Prospect,72.0
Kentavious Caldwell-Pope,Lakers,SG,47%,40%,78%,0.4,-0.43,-0.03,2.09,Sharpshooter,75.0
DeMarre Carroll,Rockets,SF,31%,23%,60%,-3.2,2.55,-0.65,0.19,Inside-Out Scorer,75.0
Jevon Carter,Suns,PG,40%,41%,79%,-1.02,0.51,-0.51,0.75,Perimeter Lockdown,72.0
Vince Carter,Hawks,SF,34%,29%,79%,-3.24,-1.02,-4.25,-0.61,Mid-Range Specialist,72.0
Michael Carter-Williams,Magic,PG,41%,27%,80%,0.57,3.6,4.17,2.33,Slashing,76.0
Alex Caruso,Lakers,SG,42%,35%,77%,-0.53,4.59,4.06,3.45,Floor-Spacing Slasher,74.0
Willie Cauley-Stein,Mavericks,C,68%,0%,67%,-4.01,4.77,0.76,1.86,Finisher,79.0
Wilson Chandler,Nets,SF,41%,31%,86%,-2.55,1.14,-1.41,0.43,Mid-Range Slasher,73.0
Marquese Chriss,Warriors,PF,55%,22%,76%,-2.25,1.15,-1.1,0.91,Interior Finisher,77.0
Gary Clark,Magic,PF,39%,35%,86%,-1.03,-2.22,-3.25,-0.09,Stretch Four,69.0
Brandon Clarke,Grizzlies,SF,62%,40%,78%,0.54,0.77,1.31,2.25,Mid-Range Finisher,81.0
Jordan Clarkson,Jazz,PG,44%,37%,88%,3.47,-1.81,1.66,3.15,Inside-Out Scorer,78.0
Nicolas Claxton,Nets,C,56%,14%,52%,-2.68,0.94,-1.74,0.1,Interior Big,74.0
Chris Clemons,Rockets,PG,40%,35%,86%,-1.8,-1.94,-3.74,-0.13,Deep-Range Shot Creator,74.0
Antonius Cleveland,Mavericks,SG,33%,0%,50%,-8.74,-5.01,-13.75,-0.12,Slasher,67.0
Amir Coffey,Clippers,PG,44%,20%,33%,-0.68,-0.28,-0.96,0.07,3PT Shot Creator,68.0
John Collins,Hawks,PF,58%,41%,81%,0.3,-0.85,-0.55,1.32,Inside-Out Scorer,84.0
Zach Collins,Trail Blazers,PF,47%,43%,100%,-1.28,6.42,5.14,0.35,Inside-Out Scorer,74.0
Mike Conley,Jazz,PG,40%,36%,79%,-0.33,-1.25,-1.58,0.61,2-Way 3PT Playmaker,81.0
Pat Connaughton,Bucks,SG,47%,34%,70%,-1.21,0.22,-0.99,0.91,Slasher,74.0
Quinn Cook,Lakers,PG,44%,38%,67%,-0.84,-1.09,-1.93,0.17,Inside-Out Scorer,73.0
Robert Covington,Rockets,SF,44%,35%,80%,0.38,1.81,2.19,4.31,Perimeter Lockdown,80.0
Allen Crabbe,Nets,SG,36%,32%,75%,-3.07,-3.54,-6.61,-1.26,Floor-Spacing Slasher,72.0
Torrey Craig,Nuggets,SF,46%,33%,65%,-0.77,-0.73,-1.5,0.52,Perimeter Defender,72.0
Jae Crowder,Heat,SF,37%,29%,79%,-0.34,-1.02,-1.36,1.14,Floor-Spacing Slasher,75.0
Jarrett Culver,Twolves,SG,40%,29%,46%,-2.81,-1.17,-3.98,-0.88,Offense Initiator,74.0
Seth Curry,Mavericks,SG,49%,45%,85%,2.5,-2.2,0.3,2.15,3-Level Scorer,79.0
Troy Daniels,Suns,SG,39%,36%,62%,-1.16,-1.97,-3.13,-0.09,Mid-Range Specialist,72.0
Anthony Davis,Lakers,PF,51%,34%,84%,1.78,3.72,5.5,7.48,Interior Force,96.0
Dewayne Dedmon,Hawks,C,40%,20%,82%,-5.32,2.74,-2.58,0.06,Mid-Range Shooter,73.0
Matthew Dellavedova,Cavaliers,PG,36%,21%,87%,-2.19,3.18,0.99,1.24,Mid-Interior Playmaker,70.0
DeMar DeRozan,Spurs,SG,53%,27%,84%,2.62,-2.15,0.47,3.11,Mid-Range Slasher,86.0
Cheick Diallo,Suns,C,66%,50%,86%,-1.35,0.5,-0.84,0.41,Mid-Range Finisher,75.0
Hamidou Diallo,Thunder,SG,44%,16%,64%,-4.93,1.8,-3.13,-0.13,Slasher,71.0
Gorgui Dieng,Grizzlies,C,45%,38%,80%,-3.01,5.47,2.45,2.43,3-Level Scorer,76.0
Spencer Dinwiddie,Nets,PG,42%,31%,78%,3.76,-2.39,1.36,3.86,Slashing Playmaker,82.0
Damyean Dotson,Knicks,SF,42%,37%,69%,-0.22,-1.18,-1.4,0.56,Mid-Range Specialist,74.0
Sekou Doumbouya,Pistons,SF,39%,29%,68%,-5.28,-3.45,-8.73,-2.06,Slasher,73.0
Andre Drummond,Cavaliers,C,53%,5%,58%,-2.53,1.74,-0.79,1.82,Paint Beast,88.0
Jared Dudley,Lakers,PF,40%,47%,100%,-2.07,2.19,0.12,0.45,Mid-Range Specialist,72.0
Kris Dunn,Bulls,PG,44%,26%,74%,-1.71,4.36,2.65,3.5,Slasher,75.0
Carsen Edwards,Celtics,PG,33%,31%,85%,-5.66,-0.19,-5.86,-0.48,Mid-Range Shot Creator,71.0
Wayne Ellington,Knicks,SG,37%,36%,85%,-0.78,0.16,-0.62,0.49,Inside-Out Scorer,72.0
Joel Embiid,76ers,C,47%,34%,81%,0.83,3.69,4.52,4.86,Paint Beast,91.0
Drew Eubanks,Spurs,PF,76%,100%,67%,-5.11,-9.17,-14.28,-0.34,Rim Protector,69.0
Jacob Evans,Twolves,SF,34%,34%,86%,-5.17,-0.94,-6.1,-0.72,Floor-Spacing Slasher,71.0
Dante Exum,Cavaliers,PG,43%,33%,100%,-2.14,0.55,-1.59,0.29,Floor-Spacing Slasher,74.0
Derrick Favors,Pelicans,PF,62%,17%,59%,1.19,2.09,3.28,3.02,Glass-Cleaning Finisher,80.0
Terrance Ferguson,Thunder,SF,37%,30%,79%,-3.28,-0.25,-3.53,-0.44,Athletic Finisher,72.0
Bruno Fernando,Hawks,PF,52%,14%,58%,-2.71,0.3,-2.41,0.11,Interior Finisher,73.0
Yogi Ferrell,Kings,PG,40%,28%,86%,-2.33,1.74,-0.59,0.53,Mid-Range Shot Creator,72.0
Dorian Finney-Smith,Mavericks,SF,47%,37%,72%,0.21,0.27,0.48,2.97,3PT Specialist,76.0
Bryn Forbes,Spurs,SG,41%,39%,82%,0.02,-3.21,-3.19,-0.33,Sharpshooter,75.0
Evan Fournier,Magic,SG,47%,40%,82%,1.17,-1.05,0.12,2.75,3-Level Scorer,82.0
Michael Frazier,Rockets,SG,36%,25%,67%,-5.85,-7.26,-13.11,-0.35,3-Level Scorer,68.0
Tim Frazier,Pelicans,PG,36%,33%,79%,-3.38,2.19,-1.19,0.28,Playmaker,74.0
Markelle Fultz,Magic,PG,46%,24%,73%,-0.92,-1.44,-2.36,0.33,Slashing Playmaker,78.0
Wenyen Gabriel,Trail Blazers,PF,35%,12%,60%,-4.97,-0.7,-5.67,-0.26,Inside-Out Scorer,68.0
Danilo Gallinari,Thunder,SF,44%,41%,89%,4.26,-1.11,3.15,4.69,3-Level Scorer,84.0
Langston Galloway,Pistons,SG,43%,40%,87%,0.98,-1.64,-0.66,1.7,Inside-Out Scorer,75.0
Darius Garland,Cavaliers,PG,40%,35%,88%,-2.34,-3.95,-6.29,-3.29,Deep-Range Shot Creator,74.0
Marc Gasol,Raptors,C,42%,40%,72%,-0.94,3.06,2.12,2.42,Interior Force,77.0
Rudy Gay,Spurs,SF,44%,32%,87%,-1.83,0.9,-0.93,1.07,Mid-Range Specialist,79.0
Paul George,Clippers,SF,43%,40%,89%,3.71,1.29,5.0,4.43,2-Way Inside-Out Scorer,90.0
Taj Gibson,Knicks,PF,58%,25%,72%,-1.74,-1.07,-2.8,-0.02,Mid-Range Finisher,76.0
Shai Gilgeous-Alexander,Thunder,PG,47%,35%,80%,1.59,-1.03,0.57,3.58,Mid-Range Slasher,84.0
Brandon Goodwin,Hawks,PG,40%,30%,93%,-2.2,0.76,-1.44,0.26,3-Level Scorer,68.0
Aaron Gordon,Magic,PF,43%,31%,67%,-0.25,-1.92,-2.17,0.52,Lob Threat,79.0
Eric Gordon,Rockets,SG,37%,33%,75%,-0.57,-2.52,-3.09,-0.16,Inside-Out Scorer,78.0
Treveon Graham,Hawks,SF,35%,24%,73%,-3.83,0.74,-3.09,-0.14,Mid-Range Finisher,71.0
Jerami Grant,Nuggets,PF,47%,40%,74%,-0.7,-2.21,-2.91,-0.13,Inside-Out Scorer,77.0
Danny Green,Lakers,SG,42%,38%,73%,0.93,2.67,3.6,4.63,2-Way Sharpshooter,77.0
Draymond Green,Warriors,PF,39%,28%,76%,-2.28,2.17,-0.11,1.67,2-Way Playmaker,79.0
JaMychal Green,Clippers,PF,41%,36%,74%,-1.61,-0.69,-2.3,0.24,Stretch Four,74.0
Javonte Green,Celtics,SG,51%,26%,64%,-1.8,-0.81,-2.6,0.03,Slasher,73.0
Jeff Green,Rockets,SF,38%,33%,78%,-2.33,-0.4,-2.74,-0.01,3-Level Scorer,74.0
Blake Griffin,Pistons,PF,35%,24%,78%,-0.77,-2.38,-3.16,-0.11,Slashing Four,82.0
Rui Hachimura,Wizards,PF,49%,29%,83%,-1.6,-3.62,-5.21,-1.32,Mid-Range Specialist,78.0
Devon Hall,-,SG,20%,0%,75%,0.21,-5.26,-5.05,-0.02,Shot Creator,67.0
James Harden,Rockets,SG,44%,36%,87%,8.84,1.58,10.42,13.81,Offensive Threat,97.0
Maurice Harkless,Knicks,SF,52%,37%,57%,-2.3,0.14,-2.16,0.39,Inside-Out Scorer,72.0
Montrezl Harrell,Clippers,PF,58%,0%,65%,0.63,3.43,4.06,5.77,Interior Force,85.0
Gary Harris,Nuggets,SG,41%,32%,83%,-2.9,1.93,-0.97,1.47,2-Way Mid-Range Shooter,77.0
Joe Harris,Nets,SG,46%,41%,73%,0.38,-0.92,-0.54,2.05,3PT Specialist,76.0
Tobias Harris,76ers,PF,47%,36%,80%,0.52,-0.23,0.29,3.21,Mid-Range Finisher,86.0
Shaquille Harrison,Bulls,PG,45%,27%,78%,0.79,3.6,4.39,1.24,Slashing Playmaker,73.0
Josh Hart,Pelicans,SG,42%,35%,74%,0.35,0.8,1.16,2.93,Slasher,75.0
Isaiah Hartenstein,Rockets,C,66%,0%,68%,-0.17,-0.01,-0.18,0.35,Inside-Out Scorer,73.0
Udonis Haslem,Heat,PF,17%,0%,75%,-13.64,-6.27,-19.91,-0.18,Interior Big,70.0
Jaxson Hayes,Pelicans,C,66%,25%,63%,-1.84,-1.32,-3.16,-0.2,Finisher,78.0
Gordon Hayward,Celtics,SF,50%,38%,85%,1.34,-0.8,0.54,2.38,3-Level Scorer,82.0
John Henson,Pistons,C,51%,19%,52%,-1.17,4.53,3.36,1.72,Rim Protector,76.0
Dewan Hernandez,Raptors,C,20%,0%,100%,0.75,-2.51,-1.76,0.01,Interior Finisher,68.0
Tyler Herro,Heat,SG,41%,39%,84%,-1.25,-1.05,-2.3,0.29,3PT Specialist,76.0
Mario Hezonja,Trail Blazers,SF,41%,27%,82%,-3.99,-0.88,-4.87,-0.73,Slasher,73.0
Buddy Hield,Kings,SG,43%,39%,85%,1.67,-1.79,-0.11,2.64,Scoring Machine,82.0
George Hill,Bucks,PG,53%,49%,83%,3.36,1.07,4.43,3.85,Shot Creator,79.0
Solomon Hill,Heat,PF,41%,38%,68%,-0.42,-1.91,-2.32,0.2,Stretch Four,73.0
Jaylen Hoard,Trail Blazers,SF,47%,0%,62%,-0.15,-1.71,-1.87,0.05,Slasher,68.0
Aaron Holiday,Pacers,PG,41%,41%,88%,1.01,0.9,1.91,2.87,Deep-Range Shot Creator,77.0
Jrue Holiday,Pelicans,SG,45%,35%,70%,2.09,1.97,4.06,6.18,2-Way Tempo Pusher,83.0
Justin Holiday,Pacers,SG,44%,42%,78%,0.86,2.11,2.97,4.42,3PT Specialist,74.0
Rondae Hollis-Jefferson,Raptors,SF,48%,12%,73%,0.74,2.59,3.32,2.96,Interior Finisher,78.0
Rodney Hood,Trail Blazers,SG,51%,49%,78%,0.54,0.12,0.66,1.08,Sharpshooter,77.0
Al Horford,76ers,C,43%,33%,74%,0.06,1.25,1.31,3.53,2-Way Mid-Range Finisher,84.0
Dwight Howard,Lakers,C,74%,60%,49%,0.85,0.66,1.51,2.52,Paint Beast,81.0
Kevin Huerter,Hawks,SG,41%,39%,83%,-0.38,-2.34,-2.72,0.03,Sharpshooter,75.0
Chandler Hutchison,Bulls,SF,46%,32%,59%,-2.93,0.6,-2.33,0.11,Inside-Out Scorer,74.0
Serge Ibaka,Raptors,PF,52%,39%,73%,-2.3,1.19,-1.11,1.07,Slashing Five,80.0
Andre Iguodala,Heat,SF,47%,37%,25%,-5.17,-0.55,-5.73,-0.26,2-Way Playmaker,78.0
Joe Ingles,Jazz,SF,43%,39%,79%,0.02,0.62,0.65,3.06,3 & D Wing,78.0
Brandon Ingram,Pelicans,SF,47%,39%,86%,2.4,-1.14,1.26,3.66,Inside-Out Scorer,86.0
Kyrie Irving,Nets,PG,48%,39%,92%,6.17,-3.31,2.86,1.9,Offensive Threat,91.0
Jonathan Isaac,Magic,SF,46%,33%,77%,-1.14,4.8,3.66,3.11,2-Way Mid-Range Shooter,82.0
Frank Jackson,Pelicans,PG,39%,31%,76%,-2.44,-4.56,-7.0,-1.3,Mid-Range Specialist,72.0
Josh Jackson,Grizzlies,SF,41%,31%,72%,-1.37,2.25,0.88,0.47,3-Level Scorer,74.0
Justin Jackson,Mavericks,SF,40%,29%,82%,-1.63,-3.07,-4.7,-0.83,3-Level Scorer,74.0
Reggie Jackson,Clippers,PG,38%,38%,79%,2.29,-0.67,1.63,1.04,Slashing Playmaker,80.0
Justin James,Kings,SG,42%,35%,48%,-3.08,1.94,-1.14,0.18,Inside-Out Scorer,69.0
LeBron James,Lakers,SF,50%,35%,69%,6.73,0.86,7.59,10.34,2-Way Slashing Playmaker,97.0
